,,,,,"Gyong","yusa","ulza8102"
1,"Acherus Veteran",6,100.0%,,2,2,2
1,"Argent Squire",4,66.7%,,,2,2
1,"Blessing of Might",6,100.0%,,2,2,2
1,"Fire Fly",6,100.0%,,2,2,2
1,"Glow-Tron",2,33.3%,,2,,
1,"Lost in the Jungle",6,100.0%,,2,2,2
1,"Mecharoo",2,33.3%,,2,,
1,"Righteous Protector",6,100.0%,,2,2,2
3,"Divine Favor",3,50.0%,,2,1,
3,"Raid Leader",6,100.0%,,2,2,2
3,"Stonehill Defender",4,66.7%,,,2,2
3,"Unidentified Maul",6,100.0%,,2,2,2
3,"Void Ripper",2,33.3%,,2,,
3,"Witch's Cauldron",3,50.0%,,,1,2
5,"Frostwolf Warlord",4,66.7%,,,2,2
5,"Fungalmancer",6,100.0%,,2,2,2
5,"Leeroy Jenkins",3,100.0%,,1,1,1
7,"Corridor Creeper",6,100.0%,,2,2,2
7,"Vinecleaver",6,100.0%,,2,2,2
9,"Baku the Mooneater",3,100.0%,,1,1,1
